Sasha Solid Cover-Up Dress,ViX Swimwear,$188.00,https://n.nordstrommedia.com/id/sr3/a330d3ee-c7c8-4513-8d9d-cdd1189f3997.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/sasha-solid-cover-up-dress/7654456?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=300,No rating,No reviews
Bias Cut Maxi Dress,Avec Les Filles,$159.00,https://n.nordstrommedia.com/id/sr3/d3fd83fb-4746-4fad-bea4-b4fa7a91113c.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/bias-cut-maxi-dress/7831908?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=744,No rating,No reviews
Sylvie Floral Wrap Maxi Dress (Plus Size),City Chic,$130.00,https://n.nordstrommedia.com/id/sr3/10fe4b4e-7e42-4c4d-a308-aeb23ae26bd0.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/city-chic-sylvie-floral-wrap-maxi-dress-plus-size/7159278?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=406,No rating,No reviews
Saga Underwire Demi Bra,Simone Perele,$135.00,https://n.nordstrommedia.com/id/sr3/1ba92b19-a86b-4f13-aa79-4499e35f7994.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/4290883?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=950,3.9 out of 5 stars,(13)
Cotton Blend Polo Dress,Lauren Ralph Lauren,$145.00,https://n.nordstrommedia.com/id/sr3/e9c700bd-ce17-4481-8762-0966de087ad2.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/7870937?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=410,No rating,No reviews
Oversize Turtleneck Sweater,English Factory,$80.00,https://n.nordstrommedia.com/id/sr3/bd79f51a-c2fb-440c-8c52-ec9502983603.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/english-factory-oversize-turtleneck-sweater/7651533?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,5 out of 5 stars,(1)
Halter Bikini Top,Kulani Kinis,$59.00,https://n.nordstrommedia.com/id/sr3/ae968821-3477-4192-8a96-44892732ce45.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/halter-bikini-top/7704189?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=656,No rating,No reviews
Barcelona Long Sleeve Cotton Graphic Crop T-Shirt,EDIKTED,$32.00,https://n.nordstrommedia.com/id/sr3/c5efeef9-1d05-4778-82f8-902db5ab4b2a.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/barcelona-long-sleeve-cotton-graphic-crop-t-shirt/7610861?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=020,No rating,No reviews
Chiara Wide Leg Crop Seersucker Pant,Akris punto,$595.00,https://n.nordstrommedia.com/id/sr3/86d2119b-44e7-4282-b160-9f4af7d967fc.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/chiara-wide-leg-crop-seersucker-pant/7687161?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=200,4 out of 5 stars,(1)
Print Faux Wrap Midi Dress,Chaus,$89.00,https://n.nordstrommedia.com/id/sr3/84e47367-8f1e-40bc-8901-be06723080ba.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/chaus-print-faux-wrap-midi-dress/6455043?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=353,No rating,No reviews
Polka Dot Minidress,English Factory,$95.00,https://n.nordstrommedia.com/id/sr3/28f4039b-a5ff-4ee9-8448-6d7739fb88af.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/polka-dot-minidress/7859838?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=451,No rating,No reviews
Dylan High Waist Wide Leg Pants,Alice + Olivia,$395.00,https://n.nordstrommedia.com/id/sr3/e11c24cf-9371-4dd9-9081-48aeb0ac98c2.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/7560663?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,4 out of 5 stars,(5)
Mixed Media Balloon Sleeve Blouse (Plus Size),BUXOM COUTURE,$69.95,https://n.nordstrommedia.com/id/sr3/d7ccf20c-6cca-434b-85bd-97a4ed80d8e4.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/mixed-media-balloon-sleeve-blouse-plus-size/7404427?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,5 out of 5 stars,(1)
Eini Denim Trompe l'Oeil Two-Piece Swimsuit,Acne Studios,$390.00,https://n.nordstrommedia.com/id/sr3/a3e790e0-9013-4682-aca4-73de2efa2dbb.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/eini-denim-trompe-loeil-two-piece-swimsuit/7682361?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=400,No rating,No reviews
Red Carpet Convertible Strapless Bra,Wacoal,$76.00,https://n.nordstrommedia.com/id/sr3/879a0747-fc3f-4f2f-b036-55227527adef.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/3236610?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=255,4.6 out of 5 stars,(2076)
