Name,Brand,Price,Image URL,Product URL,Star Rating,Number of Reviews
FP Movement Hot Shot Jumpsuit,Free People,$70.00,https://n.nordstrommedia.com/id/sr3/8754958f-7117-4808-8bed-41906f168eb7.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/free-people-fp-movement-hot-shot-jumpsuit/5808414?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,4.6 out of 5 stars,(228)
Lauren Lace Overlay Dress,Petal & Pup,$89.00,https://n.nordstrommedia.com/id/sr3/1b64d345-fd65-4db9-a635-b966b30e9497.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/petal-and-pup-lauren-lace-overlay-dress/7753910?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=410,4.5 out of 5 stars,(237)
Devlin Linen Wide Leg Pants,Petal & Pup,$79.00,https://n.nordstrommedia.com/id/sr3/4c002812-aed2-4609-9552-55db5092be1f.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/devlin-linen-wide-leg-pants/7754370?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=250,4.5 out of 5 stars,(51)
Daria Print Tiered Dress,Petal & Pup,$64.00,https://n.nordstrommedia.com/id/sr3/24e84006-432a-437c-9177-bd917095a5bb.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/daria-print-tiered-dress/7754380?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,4.3 out of 5 stars,(101)
Neveah Floral Print Wide Leg Pants,Petal & Pup,$59.00,https://n.nordstrommedia.com/id/sr3/150818b3-e31b-4b79-85d0-c8346c7b51ce.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/neveah-floral-print-wide-leg-pants/7753838?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=300,4.5 out of 5 stars,(90)
Parker Distressed Denim Shorts (Skywave),AGOLDE,$148.00,https://n.nordstrommedia.com/id/sr3/c50d068b-f425-44c8-9978-432494f1c0d9.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/parker-distressed-denim-shorts-skywave/5811186?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=400,4.2 out of 5 stars,(40)
Linen Blend Cardigan,Nordstrom,$129.00,https://n.nordstrommedia.com/id/sr3/e5ab980c-6288-4001-a591-2206f6c217e6.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/linen-blend-cardigan/7749830?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=021,3.9 out of 5 stars,(8)
Boyfriend T-Shirt (Regular & Plus),SKIMS,$46.00,https://n.nordstrommedia.com/id/sr3/c1138d35-7891-460b-81a3-cf48a102adda.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/skims-boyfriend-t-shirt-regular-plus/6048054?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=053,4.3 out of 5 stars,(149)
'Ab'Solution High Waist Wide Leg Jeans (Nordstrom Exclusive),Wit & Wisdom,$88.00,https://n.nordstrommedia.com/id/sr3/e878cb6f-2e1d-4f87-8f4b-426955fd5788.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/wit-and-wisdom-absolution-high-waist-wide-leg-jeans-nordstrom-exclusive/7666064?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=420,4.6 out of 5 stars,(25)
Axel High Waist Wide Leg Pants,Petal & Pup,$59.00,https://n.nordstrommedia.com/id/sr3/820ce45c-ee5d-4199-805b-c593c557410d.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/axel-high-waist-wide-leg-pants/7753898?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=900,4.7 out of 5 stars,(68)
Smooth Edit Midi Skirt,Open Edit,$59.50,https://n.nordstrommedia.com/id/sr3/f2fb9d65-f8ff-49c0-8177-d4a20da76233.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/smooth-edit-midi-skirt/7606764?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,4 out of 5 stars,(10)
501® Original Cutoff Shorts (Athens Mid Short),Levi's®,$69.50,https://n.nordstrommedia.com/id/sr3/a94ce089-714b-4ad8-8193-9fe4064b6ceb.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/levis-501-original-cutoff-shorts-athens-mid-short/5458391?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=420,4.1 out of 5 stars,(84)
Collegiate Cotton Blend Sweatshirt,Favorite Daughter,$88.00,https://n.nordstrommedia.com/id/sr3/125fe2e5-ca41-4b8f-8012-4f52c40acfcb.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/favorite-daughter-collegiate-cotton-blend-sweatshirt/7767279?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=600,4.8 out of 5 stars,(20)
Hailee Waffle Stitch Cardigan & Pants,Free People,$128.00,https://n.nordstrommedia.com/id/sr3/334b5ea6-742a-4235-be84-899e92188d35.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/hailee-waffle-stitch-cardigan-pants/7724172?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=020,3.6 out of 5 stars,(44)
Hawthorne Linen Blend Wide Leg Crop Pants,Petal & Pup,$52.00,https://n.nordstrommedia.com/id/sr3/0bf90159-3f0e-4181-b4eb-1878ee616b0b.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/hawthorne-linen-blend-wide-leg-crop-pants/7753204?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=250,4.6 out of 5 stars,(83)
Stretch Cotton Jersey T-Shirt (Regular & Plus),SKIMS,$48.00,https://n.nordstrommedia.com/id/sr3/eb5b0ed4-41b9-439b-a56d-a9f549892451.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/skims-stretch-cotton-jersey-t-shirt-regular-plus/5846438?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=900,3.9 out of 5 stars,(208)
'Delice' Underwire Demi Bra,Simone Perele,$110.00,https://n.nordstrommedia.com/id/sr3/1873b4e7-bd5a-405b-9fcd-8b6ba946f521.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/3810575?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=009,4.8 out of 5 stars,(12)
Crewneck Cashmere Sweater,Nordstrom,$149.00,https://n.nordstrommedia.com/id/sr3/9bd32002-63b3-4124-a13d-5b1604c399c2.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/crewneck-cashmere-sweater/7309088?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=050,4.5 out of 5 stars,(327)
Long Sleeve Ruched Brushed Jersey Top,Madewell,$45.00,https://n.nordstrommedia.com/id/sr3/7e818a1f-bc0c-4d04-bd8a-7426d95cf2c9.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/7602565?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=020,3.8 out of 5 stars,(57)
Clara Square Neck Sleeveless Knit Top,Petal & Pup,$39.00,https://n.nordstrommedia.com/id/sr3/c4e8a0a5-e444-4167-b348-94baebbf4bd4.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/petal-and-pup-clara-square-neck-sleeveless-knit-top/7761566?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=100,4.5 out of 5 stars,(11)
Puff Sleeve Button-Up Shirt,CeCe,$69.00,https://n.nordstrommedia.com/id/sr3/1169ba04-9a70-4eac-a2be-a92436fb79ed.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/cece-puff-sleeve-button-up-shirt/7557198?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=431,4.7 out of 5 stars,(18)
Dolman Sleeve Cotton Button-Up Shirt,Caslon®,$59.50,https://n.nordstrommedia.com/id/sr3/19dd79bb-1b63-4e3c-874a-d99c725648b4.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/dolman-sleeve-cotton-button-up-shirt/7776148?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=420,5 out of 5 stars,(4)
Body Lift V-Neck Bralette,True & Co,$58.00,https://n.nordstrommedia.com/id/sr3/5eed18b0-3006-4d43-9d93-58eca93c3a75.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/5706612?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,4.4 out of 5 stars,(195)
AirEssentials Wide Leg Pants,SPANX®,$138.00,https://n.nordstrommedia.com/id/sr3/d5be0b0e-956d-4efa-a409-c8a459b8861c.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/spanx-airessentials-wide-leg-pants/6462017?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=019,4 out of 5 stars,(103)
Soft Form V-Neck Bralette,True & Co,$49.00,https://n.nordstrommedia.com/id/sr3/35fb8fba-f3ae-4b52-9bbf-9bb591b4691b.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/6116107?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=410,4.2 out of 5 stars,(177)
Eleanor Wide Leg Linen Pants,Petal & Pup,$59.00,https://n.nordstrommedia.com/id/sr3/d746d5e1-3932-4c19-bdd0-c2501d0719c8.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/eleanor-wide-leg-linen-pants/7753185?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=250,4.4 out of 5 stars,(64)
True Body Lift Full V-Neck Bralette,True & Co,$58.00,https://n.nordstrommedia.com/id/sr3/4b87a9e7-ccb4-464d-b38c-2a6b89cdba81.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/5706613?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,4.2 out of 5 stars,(137)
Bliss Perfection Contour Soft Cup Bralette,Natori,$66.00,https://n.nordstrommedia.com/id/sr3/b8f23186-dfbf-47a9-8a20-7c05d58250ad.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/natori-bliss-perfection-contour-soft-cup-bralette/5025413?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,4.3 out of 5 stars,(618)
Carmen Bustier Sundress,HOUSE OF CB,$225.00 – $255.00,https://n.nordstrommedia.com/id/sr3/dc97cdd3-c301-4bbc-a9c8-d96161197100.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/house-of-cb-carmen-bustier-sundress/7111252?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=100,2.8 out of 5 stars,(118)
Karma Underwire Lace Demi Bra,Simone Perele,$105.00,https://n.nordstrommedia.com/id/sr3/b2e08691-5191-4f4e-a788-f39f82908956.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/6128257?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,3.4 out of 5 stars,(7)
Rigala Sheer Swiss Dot Sleeve Top,Petal & Pup,$59.00,https://n.nordstrommedia.com/id/sr3/e852dda8-80a4-4ad8-a835-7be1c5b6eb44.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/rigala-sheer-swiss-dot-sleeve-top/7753882?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,3.7 out of 5 stars,(24)
Pleated A-Line Dress,Nordstrom,$99.00,https://n.nordstrommedia.com/id/sr3/88d36a2e-4e4a-4d28-a5c4-50836f9966a4.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/pleated-a-line-dress/7146878?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,3.7 out of 5 stars,(58)
Mayve Sleeveless Knit Skater Minidress,Reformation,$148.00,https://n.nordstrommedia.com/id/sr3/3ad9a308-9b89-4ca7-9160-ed6c877f4ebf.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/mayve-sleeveless-knit-skater-minidress/7752546?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,3.9 out of 5 stars,(7)
Whisper Cotton Crewneck T-Shirt (Regular & Plus Size),Madewell,$19.50,https://n.nordstrommedia.com/id/sr3/0081f41f-72ac-4594-a7e1-3731fe0747f1.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/madewell-whisper-cotton-crewneck-t-shirt-regular-plus-size/5434927?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=101,4.1 out of 5 stars,(892)
Our Song Long Sleeve Cotton Henley,Free People,$78.00,https://n.nordstrommedia.com/id/sr3/f6faaebb-675c-4770-939c-dc60cc109ec0.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/our-song-long-sleeve-cotton-henley/7889361?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=533,1 out of 5 stars,(1)
Ayla Tie Shoulder Wide Leg Linen Jumpsuit,Petal & Pup,$69.00,https://n.nordstrommedia.com/id/sr3/a0e9d20e-785b-41c7-909f-b112f111cf1c.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/ayla-tie-shoulder-wide-leg-linen-jumpsuit/7753192?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,4.3 out of 5 stars,(22)
Cello One-Shoulder Knit Top,Reformation,$78.00,https://n.nordstrommedia.com/id/sr3/af0d5055-3b31-49ec-b5f0-ec3e076e546e.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/reformation-cello-one-shoulder-knit-top/7030435?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,4.8 out of 5 stars,(10)
Lux at Ease Pants,Vuori,$108.00,https://n.nordstrommedia.com/id/sr3/79642633-41c0-47e2-be1c-0a82e693fe2d.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/lux-at-ease-pants/7796069?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=401,5 out of 5 stars,(2)
Franklin Print Puff Sleeve Midi Dress,Petal & Pup,$79.00,https://n.nordstrommedia.com/id/sr3/027fcfde-71cd-44e7-8f00-97cf7b782491.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/franklin-print-puff-sleeve-midi-dress/7754129?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=230,4.5 out of 5 stars,(241)
Equilibrium Cocoon T-Shirt,Zella,$49.00,https://n.nordstrommedia.com/id/sr3/6951c655-5814-488d-a70c-fcbc1dee14fc.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/equilibrium-cocoon-t-shirt/7702807?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,5 out of 5 stars,(6)
Lindy Ruched Crop Top,Reformation,$68.00,https://n.nordstrommedia.com/id/sr3/caff995e-1d9d-468e-bb2e-7ff9d0895f5e.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/reformation-lindy-ruched-crop-top/6568850?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,4.3 out of 5 stars,(24)
Off the Shoulder Sweater,BP.,$45.00,https://n.nordstrommedia.com/id/sr3/335f8db2-c8fe-4b66-a69c-80b231462409.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/off-the-shoulder-sweater/7737998?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,5 out of 5 stars,(3)
Pursuit Relaxed Fit Pants,Alo,$148.00,https://n.nordstrommedia.com/id/sr3/b14b38cb-4c94-40e6-bce7-f918e43a450f.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/pursuit-relaxed-fit-pants/7841191?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=021,4 out of 5 stars,(4)
Energy Tank,Vuori,$54.00,https://n.nordstrommedia.com/id/sr3/fb6f31b9-0676-470d-ab43-3c4fb2f427cf.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/energy-tank/5261658?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=020,4.4 out of 5 stars,(79)
Soul Song Long Sleeve Cotton Blend Top,Free People,$68.00,https://n.nordstrommedia.com/id/sr3/05e317c1-3f2e-47a2-a12c-a93431c14f46.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/soul-song-long-sleeve-cotton-blend-top/7724435?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=400,3.7 out of 5 stars,(14)
Get Low Ripped Rolled Cuff Denim Shorts,Billabong,$59.95,https://n.nordstrommedia.com/id/sr3/3ff50662-97ca-4e62-b014-c10df6cdc338.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/get-low-ripped-rolled-cuff-denim-shorts/7718236?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=457,3.8 out of 5 stars,(4)
Cooper Stripe Seersucker Wide Leg Drawstring Pants,WAYF,$69.00,https://n.nordstrommedia.com/id/sr3/c7a1c725-af73-41e6-92f3-0acc037eea4d.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/cooper-stripe-seersucker-wide-leg-drawstring-pants/7845096?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=803,No rating,No reviews
Catalina Fit & Flare Cocktail Dress,Dress the Population,$182.00,https://n.nordstrommedia.com/id/sr3/a85c4ff0-a127-48f9-ae1a-a89c86efddc3.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/dress-the-population-catalina-fit-flare-cocktail-dress/4937787?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=810,3.9 out of 5 stars,(329)
Elijah Stripe Tube Top & Maxi Skirt Set,Petal & Pup,$79.00,https://n.nordstrommedia.com/id/sr3/e6fc3db2-6ee2-41be-9925-01ecdaccf83c.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/elijah-stripe-tube-top-maxi-skirt-set/7755538?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=410,4.1 out of 5 stars,(15)
Like Honey Satin Pajama Shorts,Free People,$38.00,https://n.nordstrommedia.com/id/sr3/45896512-e4ab-4fad-b204-f93bf5b885f6.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/like-honey-satin-pajama-shorts/7534614?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=300,4.4 out of 5 stars,(18)
