Name,Brand,Price,Image URL,Product URL,Star Rating,Number of Reviews
Total Eclipse Oversize T-Shirt,Free People,$68.00,https://n.nordstrommedia.com/id/sr3/a61d5dfe-943f-442e-8e79-30787fd2d780.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/free-people-total-eclipse-oversize-t-shirt/7789715?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,5 out of 5 stars,(1)
Tiah Playsuit Lingerie,Adore Me,$54.95,https://n.nordstrommedia.com/id/sr3/266d5ebb-5cdc-4838-a14a-241884ae2230.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/7874625?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,No rating,No reviews
Lacy Stretch Cotton Knit Camisole,EDIKTED,$36.80,https://n.nordstrommedia.com/id/sr3/468c7317-3824-4028-85dd-dadecc84aa4e.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/lacy-stretch-cotton-knit-camisole/7597461?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=410,5 out of 5 stars,(1)
Kaia Unlined Quarter Cup Bra,Adore Me,$44.95,https://n.nordstrommedia.com/id/sr3/89b38fc0-a5c1-4840-b5e3-1ba009206ae5.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/7965256?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,No rating,No reviews
Archie Tie Waist Linen Jumpsuit,Petal & Pup,$69.00,https://n.nordstrommedia.com/id/sr3/0951ee70-f844-40fc-ab29-1a787252b109.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/archie-tie-waist-linen-jumpsuit/7753200?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=200,4.2 out of 5 stars,(44)
Raelynn Wide Leg Jeans,EDIKTED,$73.60,https://n.nordstrommedia.com/id/sr3/ac64163e-4daa-4d38-83b3-a456f71cd603.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/raelynn-wide-leg-jeans/7496949?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=400,4.3 out of 5 stars,(26)
Kieran Tie Waist Wide Leg Pants,Petal & Pup,$69.00,https://n.nordstrommedia.com/id/sr3/e3a1fb9f-2ba3-4c7c-811a-3a43609f6bdc.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/kieran-tie-waist-wide-leg-pants/7754321?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=310,4.4 out of 5 stars,(88)
Pima Cotton Blend Crewneck T-Shirt,Nordstrom,$35.00,https://n.nordstrommedia.com/id/sr3/72ece580-73c1-4a9b-8d75-9344ce680f4b.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/pima-cotton-blend-crewneck-t-shirt/7197856?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,4.6 out of 5 stars,(71)
5-Stripe Zip Hoodie,Aviator Nation,$189.00,https://n.nordstrommedia.com/id/sr3/faccc9aa-e6de-4f31-8574-9eaa1f008e84.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/5-stripe-zip-hoodie/4668992?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=101,4.1 out of 5 stars,(104)
True Body Lift Full V-Neck Bralette,True & Co,$58.00,https://n.nordstrommedia.com/id/sr3/4b87a9e7-ccb4-464d-b38c-2a6b89cdba81.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/5706613?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,4.2 out of 5 stars,(137)
Marnie Tank & Wide Leg Pants Linen Set,Petal & Pup,$79.00,https://n.nordstrommedia.com/id/sr3/db1a54a7-a708-432a-bef7-f659d112b771.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/petal-and-pup-marnie-tank-wide-leg-pants-linen-set/7753205?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,4.1 out of 5 stars,(18)
Matte Satin Tee,Open Edit,$49.50,https://n.nordstrommedia.com/id/sr3/990042cb-8bd7-4ade-9299-db411ad1eaec.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/matte-satin-tee/7482650?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,4.7 out of 5 stars,(36)
Fade Into You Knit Top,Free People,$58.00,https://n.nordstrommedia.com/id/sr3/0795197f-2a41-47ba-90aa-c4b2b5c16f54.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/fade-into-you-knit-top/7256827?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,4.3 out of 5 stars,(72)
Isha Sleeveless Organic Cotton Dress,Faherty,$178.00,https://n.nordstrommedia.com/id/sr3/5996ab42-16d0-49e2-83c3-4f89393c1d0f.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/6827519?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=473,4.1 out of 5 stars,(101)
Winny Crinkle Cotton Romper,Petal & Pup,$69.00,https://n.nordstrommedia.com/id/sr3/4ce6cb20-c64c-4164-aa74-8cd5955c6380.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/winny-crinkle-cotton-romper/7754134?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=650,3.8 out of 5 stars,(64)
Nina Crewneck Cotton T-Shirt,Free People,$38.00,https://n.nordstrommedia.com/id/sr3/b44c8851-06a3-4c6c-9262-99cd21958f4f.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/nina-crewneck-cotton-t-shirt/7368145?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=900,3.9 out of 5 stars,(61)
Stella Mid Rise Wide Leg Palazzo Jeans,AG,$235.00,https://n.nordstrommedia.com/id/sr3/e48a2f2c-408a-45fd-9ff5-d5f42d6b1702.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/7317081?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=422,4.6 out of 5 stars,(7)
Triangle Lace Racerback Bralette,True & Co,$52.00,https://n.nordstrommedia.com/id/sr3/5f15f37c-5178-4c3f-93b4-e9d61c44cfac.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/5374949?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=002,4.4 out of 5 stars,(335)
Wilson Rickrack Trim Cotton Shirt & Shorts Set,Petal & Pup,$79.00,https://n.nordstrommedia.com/id/sr3/23d36555-b782-4838-b62f-91af928b093c.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/wilson-rickrack-trim-cotton-shirt-shorts-set/7819004?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=900,4.4 out of 5 stars,(9)
Oversize Fleece Joggers,BP.,$39.50,https://n.nordstrommedia.com/id/sr3/b73d9ef3-8547-445d-8195-cb689829734a.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/bp-oversize-fleece-joggers/7741423?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,5 out of 5 stars,(2)
Knit Miniskort,BP.,$35.00,https://n.nordstrommedia.com/id/sr3/d4dbe4a9-a077-4878-9be3-15640f1333db.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/bp-knit-miniskort/7682767?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,4.8 out of 5 stars,(8)
Daily Wide Leg Pants,Vuori,$98.00,https://n.nordstrommedia.com/id/sr3/82fcfc79-fb52-49fa-a1d9-cf24a8a4e12a.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/vuori-daily-wide-leg-pants/7017441?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,4.1 out of 5 stars,(48)
Washed V-Neck Crop T-Shirt,BP.,$25.00,https://n.nordstrommedia.com/id/sr3/fa9c3793-df92-4fb5-a981-6198bd1b07cd.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/washed-v-neck-crop-t-shirt/7748905?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,3 out of 5 stars,(1)
Two Palms Linen Raw Edge Jacket,Tommy Bahama,$138.00,https://n.nordstrommedia.com/id/sr3/ccb8b7cb-4e33-4748-818d-ffc47387761a.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/tommy-bahama-two-palms-linen-raw-edge-jacket/4272750?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=302,4.6 out of 5 stars,(55)
Daydream Long Sleeve Performance T-Shirt,Vuori,$64.00,https://n.nordstrommedia.com/id/sr3/2252c56b-d3b7-4ee5-a486-642e7795a22f.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/daydream-long-sleeve-performance-t-shirt/5315950?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=002,4.5 out of 5 stars,(158)
